date,financing_balance,financing_purchase,financing_redeem,securities_lending_balance,securities_lending_sell,securities_lending_shares,margin_balance,market,margin_balance_change
2010-03-31,5824813.0,5866316.0,41503.0,24142.0,3100.0,0.0,5848955.0,沪市,
2010-04-01,6842114.0,1054024.0,36723.0,17325.0,0.0,0.0,6859439.0,沪市,17.27631688053679
2010-04-02,6762781.0,207516.0,286849.0,11929.0,0.0,0.0,6774710.0,沪市,-1.235217632229113
2010-04-06,10091243.0,3329461.0,999.0,10267.0,0.0,0.0,10101510.0,沪市,49.10616100172553
2010-04-07,25086826.0,15141395.0,145812.0,38418.0,1400.0,0.0,25125244.0,沪市,148.72760607077558
2010-04-08,30233781.0,5147142.0,187.0,10110.0,0.0,0.0,30243891.0,沪市,20.372526531483626
2010-04-09,50663640.0,22077191.0,1647332.0,10197.0,0.0,0.0,50673837.0,沪市,67.5506534526262
2010-04-12,89060984.0,40376602.0,1979258.0,10092.0,5000.0,0.0,89071076.0,沪市,75.77330092449877
2010-04-13,92169145.0,17444196.0,14336035.0,211445.0,3900.0,0.0,92380590.0,沪市,3.715587762743544
2010-04-14,89480507.0,7964900.0,10653538.0,212231.0,0.0,0.0,89692738.0,沪市,-2.9095419286670476
2010-04-15,103099287.0,20916787.0,7298007.0,271214.0,1100.0,0.0,103370501.0,沪市,15.249576838651091
2010-04-16,121064474.0,25841176.0,7875989.0,1198858.0,19300.0,0.0,122263332.0,沪市,18.27681090565674
2010-04-19,112783831.0,8395193.0,16675836.0,1031561.0,1500.0,0.0,113815392.0,沪市,-6.909626837259763
2010-04-20,116673356.0,5706716.0,1817191.0,1638860.0,525900.0,0.0,118312216.0,沪市,3.95098054927403
2010-04-21,127565065.0,14384413.0,3492704.0,2513143.0,97300.0,0.0,130078208.0,沪市,9.94486655545359
2010-04-22,157219058.0,32603174.0,2949181.0,2932237.0,192400.0,0.0,160151295.0,沪市,23.119235314188824
2010-04-23,152902064.0,17574818.0,21891812.0,2830321.0,15700.0,0.0,155732385.0,沪市,-2.759209658591899
2010-04-26,182090321.0,35141973.0,5953716.0,11042183.0,193800.0,0.0,193132504.0,沪市,24.015633614036027
2010-04-27,202494937.0,29621581.0,9216965.0,2758191.0,76000.0,0.0,205253128.0,沪市,6.275807411475398
2010-04-28,223249365.0,31144701.0,10390273.0,2709735.0,2100.0,0.0,225959100.0,沪市,10.088017757273837
2010-04-29,233030157.0,27561491.0,17780699.0,2847328.0,12363.0,0.0,235877485.0,沪市,4.389460304984394
2010-04-30,235526412.0,27804556.0,25308301.0,2551528.0,20400.0,0.0,238077940.0,沪市,0.9328804739460406
2010-05-04,242846863.0,21944030.0,14623579.0,3519010.0,116400.0,0.0,246365873.0,沪市,3.4811847750362723
2010-05-05,277495916.0,50597915.0,15948862.0,5144755.0,101100.0,0.0,282640671.0,沪市,14.723954076220625
2010-05-06,314003383.0,55666699.0,19159232.0,3286323.0,15400.0,0.0,317289706.0,沪市,12.25904073798354
2010-05-07,309938569.0,48359014.0,52423828.0,4275122.0,59300.0,0.0,314213691.0,沪市,-0.9694657411923768
2010-05-10,327370089.0,36414703.0,18983183.0,6273327.0,181436.0,0.0,333643416.0,沪市,6.183602292492085
2010-05-11,350667983.0,47067392.0,23769498.0,6053063.0,144200.0,0.0,356721046.0,沪市,6.916854609832912
2010-05-12,376113669.0,43090277.0,17644591.0,6718753.0,246200.0,0.0,382832422.0,沪市,7.3198305210172565
2010-05-13,393357604.0,43516642.0,26272707.0,8409102.0,156800.0,0.0,401766706.0,沪市,4.945841290317876
