date,close,open,high,low,vol,amount,market,change_pct,ma5,ma10,ma20,ma60
1991-04-03,988.05,988.05,988.05,988.05,161.0,225.725,深市,,,,,
1991-04-04,983.11,983.11,983.11,983.11,523.0,761.033,深市,-0.4999746976367514,,,,
1991-04-05,978.27,978.27,978.27,978.27,107.0,150.034,深市,-0.49231520379204863,,,,
1991-04-08,968.57,968.57,968.57,968.57,57.0,84.478,深市,-0.9915463011234027,,,,
1991-04-09,963.73,963.73,963.73,963.73,19.0,39.16,深市,-0.49970575177840093,976.3459999999999,,,
1991-04-10,958.88,958.88,958.88,958.88,45.0,109.705,深市,-0.5032529857947776,970.512,,,
1991-04-11,954.03,954.03,954.03,954.03,45.0,59.165,深市,-0.5057984315034236,964.6960000000001,,,
1991-04-12,949.31,949.31,949.31,949.31,68.0,112.764,深市,-0.49474335188620655,958.9040000000001,,,
1991-04-15,939.98,939.98,939.98,939.98,50.0,64.5,深市,-0.9828191001885478,953.186,,,
1991-04-16,935.38,935.38,935.38,935.38,22.0,33.631,深市,-0.4893721143003016,947.516,961.9309999999999,,
1991-04-17,930.78,930.78,930.78,930.78,21.0,30.135,深市,-0.4917787423293185,941.896,956.2040000000001,,
1991-04-18,926.18,926.18,926.18,926.18,14.0,32.028,深市,-0.4942091579105745,936.326,950.5110000000001,,
1991-04-19,921.58,921.58,921.58,921.58,17.0,27.423,深市,-0.49666371547646415,930.78,944.842,,
1991-04-22,912.38,912.38,912.38,912.38,0.0,0.0,深市,-0.9982855530718981,925.26,939.223,,
1991-04-23,907.78,907.78,907.78,907.78,48.0,149.935,深市,-0.5041758916241035,919.74,933.628,,
1991-04-24,903.31,903.31,903.31,903.31,46.0,108.768,深市,-0.49241005529974124,914.2460000000001,928.0709999999999,,
1991-04-25,898.84,898.84,898.84,898.84,50.0,109.89,深市,-0.4948467303583337,908.7779999999999,922.552,,
1991-04-26,894.36,894.36,894.36,894.36,53.0,91.577,深市,-0.49842018601753413,903.3340000000001,917.057,,
1991-04-29,885.43,885.43,885.43,885.43,49.0,72.425,深市,-0.998479359542026,897.9439999999998,911.6020000000001,,
1991-04-30,880.98,880.98,880.98,880.98,142.0,182.526,深市,-0.5025806670205357,892.5840000000001,906.162,934.0465,
1991-05-02,876.57,876.57,876.57,876.57,72.0,92.547,深市,-0.5005789007695993,887.2360000000001,900.741,928.4725000000001,
1991-05-03,872.16,872.16,872.16,872.16,78.0,103.207,深市,-0.5030972997022598,881.9,895.3389999999999,922.925,
1991-05-06,863.35,863.35,863.35,863.35,124.0,180.595,深市,-1.0101357549073486,875.698,889.516,917.1789999999999,
1991-05-07,859.06,859.06,859.06,859.06,102.0,126.708,深市,-0.49690160421614893,870.424,884.184,911.7035,
1991-05-08,854.78,854.78,854.78,854.78,309.0,697.587,深市,-0.49821898354014404,865.184,878.884,906.256,
1991-05-09,850.5,850.5,850.5,850.5,435.0,568.23,深市,-0.5007136339174934,859.9699999999999,873.6030000000001,900.8369999999999,
1991-05-10,846.22,846.22,846.22,846.22,700.0,897.15,深市,-0.503233392122282,854.7819999999999,868.341,895.4465,
1991-05-13,837.66,837.66,837.66,837.66,1554.0,1909.701,深市,-1.0115572782491644,849.644,862.671,889.8639999999999,
1991-05-14,835.01,834.44,835.01,833.38,3160.0,3873.61,深市,-0.31635747200534636,844.8340000000001,857.6290000000001,884.6154999999999,
1991-05-15,832.54,832.36,832.54,832.36,3957.0,5663.809,深市,-0.2958048406605962,840.3860000000001,852.7850000000001,879.4734999999998,
1991-05-16,830.06,830.06,830.06,830.06,5918.0,8115.748,深市,-0.29788358517308655,836.298,848.134,874.4375,
1991-05-17,827.72,827.72,827.72,827.72,9014.0,11549.874,深市,-0.28190733200008644,832.598,843.6899999999999,869.5145,
1991-05-20,822.67,822.67,822.67,822.67,5631.0,6783.411,深市,-0.6101096989320154,829.6,839.622,864.5690000000001,
1991-05-21,820.15,820.15,820.15,820.15,3708.0,4589.803,深市,-0.3063196664519152,826.6279999999999,835.731,859.9575000000001,
1991-05-22,817.63,817.63,817.63,817.63,4533.0,5591.528,深市,-0.30726086691458265,823.646,832.016,855.45,
1991-05-23,813.59,814.16,815.22,813.59,3267.0,4005.642,深市,-0.4941110282156935,820.3520000000001,828.325,850.9639999999999,
1991-05-24,809.56,809.56,809.56,809.56,1008.0,1190.053,深市,-0.49533548839096886,816.7199999999999,824.659,846.5,
1991-05-27,801.48,801.48,801.48,801.48,1320.0,1510.74,深市,-0.9980730273234761,812.482,821.0409999999999,841.856,
1991-05-28,797.98,797.98,797.98,797.98,178.0,216.078,深市,-0.4366921195787743,808.048,817.338,837.4834999999999,
1991-05-29,794.61,794.61,794.61,794.61,136.0,257.787,深市,-0.42231634878067137,803.444,813.545,833.165,
1991-05-30,791.23,791.23,791.23,791.23,204.0,285.957,深市,-0.42536590276991415,798.972,809.662,828.8979999999999,
1991-05-31,787.85,787.85,787.85,787.85,81.0,95.984,深市,-0.42718299356697687,794.6300000000001,805.675,824.6825000000001,
1991-06-03,781.1,781.1,781.1,781.1,257.0,327.447,深市,-0.8567620739988624,790.554,801.518,820.5699999999999,
1991-06-04,777.72,777.72,777.72,777.72,801.0,957.607,深市,-0.4327230828318984,786.502,797.2750000000001,816.5029999999999,
