date,financing_balance,financing_purchase,financing_redeem,securities_lending_balance,securities_lending_sell,securities_lending_shares,margin_balance
20100331,5824813.0,5866316.0,41503.0,24142.0,3100.0,,5848955.0
20100401,6842114.0,1054024.0,36723.0,17325.0,0.0,,6859439.0
20100402,6762781.0,207516.0,286849.0,11929.0,0.0,,6774710.0
20100406,10091243.0,3329461.0,999.0,10267.0,0.0,,10101510.0
20100407,25086826.0,15141395.0,145812.0,38418.0,1400.0,,25125244.0
20100408,30233781.0,5147142.0,187.0,10110.0,0.0,,30243891.0
20100409,50663640.0,22077191.0,1647332.0,10197.0,0.0,,50673837.0
20100412,89060984.0,40376602.0,1979258.0,10092.0,5000.0,,89071076.0
20100413,92169145.0,17444196.0,14336035.0,211445.0,3900.0,,92380590.0
20100414,89480507.0,7964900.0,10653538.0,212231.0,0.0,,89692738.0
20100415,103099287.0,20916787.0,7298007.0,271214.0,1100.0,,103370501.0
20100416,121064474.0,25841176.0,7875989.0,1198858.0,19300.0,,122263332.0
20100419,112783831.0,8395193.0,16675836.0,1031561.0,1500.0,,113815392.0
20100420,116673356.0,5706716.0,1817191.0,1638860.0,525900.0,,118312216.0
20100421,127565065.0,14384413.0,3492704.0,2513143.0,97300.0,,130078208.0
20100422,157219058.0,32603174.0,2949181.0,2932237.0,192400.0,,160151295.0
20100423,152902064.0,17574818.0,21891812.0,2830321.0,15700.0,,155732385.0
20100426,182090321.0,35141973.0,5953716.0,11042183.0,193800.0,,193132504.0
20100427,202494937.0,29621581.0,9216965.0,2758191.0,76000.0,,205253128.0
20100428,223249365.0,31144701.0,10390273.0,2709735.0,2100.0,,225959100.0
20100429,233030157.0,27561491.0,17780699.0,2847328.0,12363.0,,235877485.0
20100430,235526412.0,27804556.0,25308301.0,2551528.0,20400.0,,238077940.0
20100504,242846863.0,21944030.0,14623579.0,3519010.0,116400.0,,246365873.0
20100505,277495916.0,50597915.0,15948862.0,5144755.0,101100.0,,282640671.0
20100506,314003383.0,55666699.0,19159232.0,3286323.0,15400.0,,317289706.0
