date,close,open,high,low,vol,amount
19910403,988.05,988.05,988.05,988.05,161.0,225.725
19910404,983.11,983.11,983.11,983.11,523.0,761.033
19910405,978.27,978.27,978.27,978.27,107.0,150.034
19910408,968.57,968.57,968.57,968.57,57.0,84.478
19910409,963.73,963.73,963.73,963.73,19.0,39.16
19910410,958.88,958.88,958.88,958.88,45.0,109.705
19910411,954.03,954.03,954.03,954.03,45.0,59.165
19910412,949.31,949.31,949.31,949.31,68.0,112.764
19910415,939.98,939.98,939.98,939.98,50.0,64.5
19910416,935.38,935.38,935.38,935.38,22.0,33.631
19910417,930.78,930.78,930.78,930.78,21.0,30.135
19910418,926.18,926.18,926.18,926.18,14.0,32.028
19910419,921.58,921.58,921.58,921.58,17.0,27.423
19910422,912.38,912.38,912.38,912.38,0.0,0.0
19910423,907.78,907.78,907.78,907.78,48.0,149.935
19910424,903.31,903.31,903.31,903.31,46.0,108.768
19910425,898.84,898.84,898.84,898.84,50.0,109.89
19910426,894.36,894.36,894.36,894.36,53.0,91.577
19910429,885.43,885.43,885.43,885.43,49.0,72.425
19910430,880.98,880.98,880.98,880.98,142.0,182.526
19910502,876.57,876.57,876.57,876.57,72.0,92.547
19910503,872.16,872.16,872.16,872.16,78.0,103.207
19910506,863.35,863.35,863.35,863.35,124.0,180.595
19910507,859.06,859.06,859.06,859.06,102.0,126.708
19910508,854.78,854.78,854.78,854.78,309.0,697.587
19910509,850.5,850.5,850.5,850.5,435.0,568.23
19910510,846.22,846.22,846.22,846.22,700.0,897.15
19910513,837.66,837.66,837.66,837.66,1554.0,1909.701
19910514,835.01,834.44,835.01,833.38,3160.0,3873.61
19910515,832.54,832.36,832.54,832.36,3957.0,5663.809
19910516,830.06,830.06,830.06,830.06,5918.0,8115.748
19910517,827.72,827.72,827.72,827.72,9014.0,11549.874
19910520,822.67,822.67,822.67,822.67,5631.0,6783.411
19910521,820.15,820.15,820.15,820.15,3708.0,4589.803
19910522,817.63,817.63,817.63,817.63,4533.0,5591.528
19910523,813.59,814.16,815.22,813.59,3267.0,4005.642
19910524,809.56,809.56,809.56,809.56,1008.0,1190.053
19910527,801.48,801.48,801.48,801.48,1320.0,1510.74
19910528,797.98,797.98,797.98,797.98,178.0,216.078
19910529,794.61,794.61,794.61,794.61,136.0,257.787
19910530,791.23,791.23,791.23,791.23,204.0,285.957
19910531,787.85,787.85,787.85,787.85,81.0,95.984
19910603,781.1,781.1,781.1,781.1,257.0,327.447
19910604,777.72,777.72,777.72,777.72,801.0,957.607
19910605,774.35,774.35,774.35,774.35,1650.0,1993.19
19910606,771.26,771.26,771.26,771.26,24.0,35.231
19910607,768.16,768.16,768.16,768.16,106.0,106.145
19910610,733.65,754.25,754.25,733.65,165.0,175.555
19910611,756.51,733.7,756.51,732.23,987.0,761.793
19910612,753.06,755.26,758.21,751.41,1905.0,1650.44
19910613,745.92,751.07,751.07,745.92,2389.0,2175.552
19910614,735.67,743.2,743.2,734.2,2362.0,2081.145
19910617,721.0,716.99,721.18,715.14,2100.0,1808.67
19910618,721.21,717.13,721.94,716.4,1485.0,1105.81
19910619,717.33,717.71,721.37,715.88,2312.0,1871.116
19910620,710.12,714.18,714.18,707.56,2250.0,1665.7
19910621,704.41,706.97,707.35,703.66,1802.0,1262.879
19910624,689.79,694.2,696.76,687.18,2765.0,1894.975
19910625,690.09,685.3,691.55,684.93,6183.0,3358.035
19910626,693.96,686.21,695.28,683.89,6566.0,3583.507
19910627,694.9,690.66,697.46,687.67,8649.0,4827.769
19910628,691.41,691.45,693.37,686.53,10643.0,5925.688
19910701,684.01,685.65,687.48,680.83,9795.0,5471.735
19910702,670.15,680.4,683.34,665.39,5667.0,3061.411
19910703,669.06,666.81,671.95,660.93,8494.0,4369.82
19910704,661.61,665.85,667.54,660.42,5252.0,2938.094
19910705,652.38,659.38,660.66,648.22,6355.0,3521.849
19910708,628.45,640.79,641.41,623.23,6982.0,3212.87
19910709,611.99,620.78,620.78,603.04,8522.0,3380.915
19910710,614.92,609.63,617.19,607.64,7535.0,3378.398
19910711,608.27,612.62,615.0,604.76,6137.0,2827.057
19910712,603.02,605.55,606.19,598.86,8516.0,3592.61
19910715,594.38,600.47,600.75,590.81,5966.0,2519.651
19910716,584.85,591.97,592.96,581.74,6642.0,2806.41
19910717,576.75,580.06,582.33,572.52,6772.0,2659.935
19910718,608.91,574.99,613.83,573.6,5936.0,2827.15
19910719,616.73,609.39,640.22,606.25,10972.0,6044.69
19910722,601.76,603.6,607.84,595.85,9914.0,4854.715
19910723,601.9,598.45,605.82,594.92,8344.0,4491.86
