date,financing_balance,financing_purchase,financing_redeem,securities_lending_balance,securities_lending_sell,securities_lending_shares,margin_balance
20100331,670796.0,684569.0,13773.0,70895.0,4000.0,,741691.0
20100401,6871924.0,8494307.0,2293179.0,14707.0,0.0,,6886631.0
20100402,6424142.0,6211123.0,6658905.0,14088.0,0.0,,6438230.0
20100406,4422212.0,3832600.0,5834530.0,13935.0,0.0,,4436147.0
20100407,11515527.0,7094565.0,1250.0,9476.0,0.0,,11525003.0
20100408,14467758.0,6713260.0,3761029.0,56023.0,2100.0,,14523781.0
20100409,19732998.0,9357095.0,4091855.0,108362.0,6700.0,,19841360.0
20100412,24813027.0,10406563.0,5326534.0,8100.0,2200.0,,24821127.0
20100413,28043418.0,10618362.0,7387971.0,8190.0,0.0,,28051608.0
20100414,31436865.0,9419777.0,6026330.0,8200.0,0.0,,31445065.0
20100415,47980287.0,16607172.0,63750.0,97676.0,4200.0,,48077963.0
20100416,57295706.0,10261947.0,946528.0,97186.0,0.0,,57392892.0
20100419,73074834.0,16786557.0,1007429.0,1388049.0,118600.0,,74462883.0
20100420,75880873.0,4200533.0,1394494.0,187320.0,0.0,,76068193.0
20100421,75487129.0,6181261.0,6575005.0,533090.0,10000.0,,76020219.0
20100422,98603964.0,24706394.0,1589559.0,513260.0,3200.0,,99117224.0
20100423,107953879.0,16616329.0,7266414.0,374180.0,10100.0,,108328059.0
20100426,109584858.0,8683319.0,7052340.0,1362953.0,48700.0,,110947811.0
20100427,117633440.0,11710150.0,3661568.0,1541466.0,18400.0,,119174906.0
20100428,130122826.0,14705894.0,2216508.0,1759408.0,50700.0,,131882234.0
20100429,134552434.0,8192481.0,3762873.0,2147730.0,13000.0,,136700164.0
20100430,145916942.0,18487739.0,7123231.0,824807.0,5200.0,,146741749.0
20100504,152252123.0,10960784.0,4625603.0,1128695.0,36300.0,,153380818.0
20100505,198213696.0,52075889.0,6114316.0,943571.0,6300.0,,199157267.0
20100506,216307335.0,37006705.0,18913066.0,1021638.0,26000.0,,217328973.0
20100507,217461595.0,13388918.0,12234658.0,1084070.0,6409.0,,218545665.0
20100510,226993903.0,17186304.0,7653996.0,1204576.0,9300.0,,228198479.0
20100511,238665335.0,19447190.0,7775758.0,1284209.0,9000.0,,239949544.0
20100512,239338755.0,10026695.0,9353275.0,1637752.0,29100.0,,240976507.0
20100513,239722133.0,9782955.0,9399577.0,1416380.0,7300.0,,241138513.0
